物品,成交量,最低價,中位價,最高價,價格變化,日期
指虎命中卷軸10%卷軸,104,7000,10000,11000,+0.87%,2025-06-24
槍攻擊卷軸10%卷軸,103,40000,80000,120000,+22.13%,2025-06-24
耳飾體力卷軸10%卷軸,102,100000,100000,100000,0.00%,2025-06-24
護身符商城道具,98,139999,225000,530000,+99.28%,2025-06-24
耳飾敏捷卷軸100%卷軸,95,3650000,4000000,4200000,+1.50%,2025-06-24
雙手劍攻擊卷軸10%卷軸,95,15000,40000,60000,+15.15%,2025-06-24
堅硬的羽毛其他,90,490,800,1200,+15.22%,2025-06-24
披風幸運卷軸100%卷軸,88,370000,400000,410000,+0.13%,2025-06-24
雙手棍攻擊卷軸60%卷軸,88,999,10000,20000,-1.85%,2025-06-24
古代卷軸其他,83,20000,34444,50000,-16.47%,2025-06-24
盾牌幸運卷軸60%卷軸,965,1250000,1400000,1589998,+2.11%,2025-06-25
手套攻擊卷軸60%卷軸,913,1400000,1700000,2200000,+2.68%,2025-06-25
拳套攻擊卷軸60%卷軸,860,450000,530000,650000,+4.40%,2025-06-25
短杖魔力卷軸60%卷軸,804,225000,250000,320000,+5.48%,2025-06-25
耳飾幸運卷軸10%卷軸,755,220000,300000,350001,+6.94%,2025-06-25
披風幸運卷軸60%卷軸,752,1230000,1300000,1460000,+1.75%,2025-06-25
飄雪結晶商城道具,647,70000,195000,305000,+59.19%,2025-06-25
短劍攻擊卷軸60%卷軸,643,648888,700000,780000,-1.20%,2025-06-25
手槍攻擊力卷軸60%卷軸,621,269999,300000,370000,+2.31%,2025-06-25
弓攻擊卷軸60%卷軸,569,195000,249999,290000,+4.55%,2025-06-25
披風敏捷性卷軸60%卷軸,563,1600000,2300000,3200000,-1.29%,2025-06-25
長杖魔力卷軸60%卷軸,555,275000,300000,370000,+1.21%,2025-06-25
弩攻擊卷軸60%卷軸,543,34999,45000,55500,+2.70%,2025-06-25
披風智力卷軸60%卷軸,508,475000,500000,575000,+1.52%,2025-06-25
套服敏捷卷軸60%卷軸,492,1300000,1650000,2100000,+9.67%,2025-06-25
雙手劍命中卷軸60%卷軸,472,55000,79998,100000,+14.13%,2025-06-25
耳環智力卷軸60%卷軸,456,850000,1100000,1450000,+3.76%,2025-06-25
頭盔智力卷軸100%卷軸,455,170000,200000,210000,+1.39%,2025-06-25
槍命中卷軸60%卷軸,440,85000,120000,145000,+2.63%,2025-06-25
手套敏捷性卷軸60%卷軸,429,75000,120000,170000,+7.93%,2025-06-25
鞋子跳躍卷軸10%卷軸,403,225000,260000,320000,+0.45%,2025-06-25
套服敏捷卷軸10%卷軸,396,300000,850000,1300000,+6.65%,2025-06-25
手套敏捷性卷軸10%卷軸,388,20000,80000,150000,+34.85%,2025-06-25
上衣幸運卷軸100%卷軸,386,229999,280000,325000,+4.93%,2025-06-25
手套攻擊卷軸100%卷軸,384,260000,350000,430000,+5.36%,2025-06-25
上衣力量卷軸100%卷軸,383,125000,180000,220000,+11.03%,2025-06-25
槍攻擊卷軸60%卷軸,381,85000,100000,145000,+0.89%,2025-06-25
鞋子跳躍卷軸60%卷軸,369,750000,1200000,1700000,+7.46%,2025-06-25
頭盔敏捷性卷軸100%卷軸,359,328613,388888,420000,+1.89%,2025-06-25
披風力量卷軸60%卷軸,353,1150000,1488888,1800000,+3.80%,2025-06-25
耳飾幸運卷軸100%卷軸,353,480000,500000,570000,-0.69%,2025-06-25
頭盔體力卷軸60%卷軸,338,360000,410000,540000,+0.60%,2025-06-25
盾牌幸運卷軸100%卷軸,336,240000,290000,320000,-2.59%,2025-06-25
單手劍攻擊卷軸60%卷軸,321,35000,50000,95000,+13.83%,2025-06-25
鞋子敏捷性卷軸60%卷軸,318,44444,60000,90000,+14.06%,2025-06-25
披風幸運卷軸10%卷軸,315,230000,290000,320000,+4.25%,2025-06-25
拳套攻擊卷軸10%卷軸,314,575000,800000,1100000,+8.81%,2025-06-25
指虎攻擊卷軸60%卷軸,302,25000,30000,45000,+9.29%,2025-06-25
槍命中卷軸10%卷軸,296,4997,15000,30000,+21.03%,2025-06-25
短劍攻擊卷軸10%卷軸,291,530000,730000,1000000,+12.37%,2025-06-25
鞋子移動速度卷軸60%卷軸,291,23000,30000,50000,+10.12%,2025-06-25
披風體力卷軸60%卷軸,273,170000,200000,210000,-0.43%,2025-06-25
手套攻擊卷軸10%卷軸,272,700000,1200000,1700000,+7.15%,2025-06-25
雙手劍攻擊卷軸60%卷軸,272,34800,50000,55000,+2.96%,2025-06-25
矛攻擊卷軸60%卷軸,259,22000,30000,45000,+4.24%,2025-06-25
耳飾體力卷軸60%卷軸,256,110000,150000,160000,+6.60%,2025-06-25
手槍攻擊力卷軸10%卷軸,248,850000,1000000,1150000,+0.87%,2025-06-25
單手棍命中卷軸60%卷軸,237,19997,30000,45000,-2.79%,2025-06-25
套服幸運卷軸60%卷軸,232,3850000,4800000,5600000,+1.16%,2025-06-25
上衣體力卷軸10%卷軸,228,23000,40000,50000,-3.35%,2025-06-25
食人花的花蜜其他,217,850000,999000,1050000,+0.59%,2025-06-25
酋長的地契其他,214,277777,300000,370000,+1.93%,2025-06-25
披風敏捷性卷軸100%卷軸,210,230000,270000,320000,+2.57%,2025-06-25
套服智力卷軸60%卷軸,203,5400000,6400000,7500000,+7.17%,2025-06-25
鞋子速度卷軸60%卷軸,195,20000,50000,100000,-0.50%,2025-06-25
弓攻擊卷軸10%卷軸,190,300000,600000,1100000,+21.36%,2025-06-25
盾牌生命卷軸10%卷軸,188,180000,200000,260000,+5.20%,2025-06-25
高級瞬移之石商城道具,182,68000,180000,425000,+46.19%,2025-06-25
枯木樹液消耗品,174,23000,30000,32000,-4.45%,2025-06-25
詛咒娃娃其他,170,80,130,200,+19.26%,2025-06-25
鋼鐵母礦其他,157,6350,13000,18000,+26.67%,2025-06-25
下衣體力卷軸60%卷軸,155,370000,400000,470000,+3.31%,2025-06-25
套服幸運卷軸100%卷軸,154,1200000,1500000,2000000,+5.38%,2025-06-25
雙手斧攻擊卷軸60%卷軸,154,5000,20000,50000,+19.57%,2025-06-25
披風力量卷軸100%卷軸,153,115000,150000,160000,+2.71%,2025-06-25
土飛鏢裝備,150,3499999,4000000,4600000,-2.23%,2025-06-25
盾牌力量卷軸60%卷軸,147,230000,330000,400000,+4.00%,2025-06-25
頭盔防禦卷軸60%卷軸,146,3000,8500,13000,+6.78%,2025-06-25
上衣體力卷軸60%卷軸,143,135000,180000,220000,-1.68%,2025-06-25
盾牌生命卷軸60%卷軸,143,730000,799999,820000,+0.73%,2025-06-25
矛命中卷軸60%卷軸,143,34800,45000,55000,-4.03%,2025-06-25
指虎攻擊卷軸10%卷軸,140,5000,10000,25800,+26.44%,2025-06-25
盾牌幸運卷軸10%卷軸,133,450000,650000,950000,+2.80%,2025-06-25
柔軟的羽毛其他,129,850,1000,1350,+4.17%,2025-06-25
馬堤安的觸角其他,129,300,800,1200,-7.43%,2025-06-25
耳飾體力卷軸10%卷軸,125,96500,100000,105000,-0.01%,2025-06-25
肥肥頭其他,123,23000,30000,40000,-1.51%,2025-06-25
下衣跳躍卷軸60%卷軸,120,27500,40000,50000,+8.52%,2025-06-25
單手劍攻擊卷軸10%卷軸,118,75000,100000,125000,-2.55%,2025-06-25
套服智力卷軸100%卷軸,118,1799989,2100000,2800000,-2.72%,2025-06-25
下衣敏捷性卷軸100%卷軸,117,600000,900000,1300000,-14.66%,2025-06-25
單手棍攻擊卷軸60%卷軸,117,1000,10000,25000,+31.07%,2025-06-25
神秘背包商城道具,117,750000,1000000,1800000,+1.70%,2025-06-25
頭盔體力卷軸10%卷軸,111,50000,50000,50000,0.00%,2025-06-25
指虎命中卷軸10%卷軸,108,6500,10000,11111,-0.76%,2025-06-25
鞋子敏捷性卷軸10%卷軸,108,49996,50000,52000,+0.15%,2025-06-25
黑暗母礦其他,107,15000,25000,35000,-6.12%,2025-06-25
上衣力量卷軸60%卷軸,106,1500000,2000000,3000000,+19.18%,2025-06-25
長杖魔力卷軸10%卷軸,105,399999,588888,750000,+9.42%,2025-06-25
雙手斧攻擊卷軸10%卷軸,104,5000,30000,50000,+26.12%,2025-06-25
套服力量卷軸100%卷軸,98,60000,80000,110000,+9.80%,2025-06-25
槍攻擊卷軸10%卷軸,94,50000,85000,120000,+18.54%,2025-06-25
堅硬的羽毛其他,92,490,850,1350,+24.02%,2025-06-25
手套生命卷軸60%卷軸,92,250000,310000,420000,+14.13%,2025-06-25
雙手棍攻擊卷軸60%卷軸,92,999,10000,20000,+21.06%,2025-06-25
披風智力卷軸100%卷軸,91,83000,100000,100000,-2.58%,2025-06-25
護身符商城道具,89,35000,250000,600000,+85.02%,2025-06-25
敏捷母礦其他,87,43000,50000,60000,+1.34%,2025-06-25
矛命中卷軸10%卷軸,87,8888,10000,10000,-0.26%,2025-06-25
雙手劍攻擊卷軸10%卷軸,87,25000,40000,60000,-1.90%,2025-06-25
物品,成交量,最低價,中位價,最高價,價格變化,日期
披風幸運卷軸60%卷軸,857,1200000,1300000,1600000,+3.31%,2025-06-26
盾牌幸運卷軸60%卷軸,808,1279999,1400000,1555555,+1.02%,2025-06-26
拳套攻擊卷軸60%卷軸,794,450000,530000,650000,+3.98%,2025-06-26
手套攻擊卷軸60%卷軸,756,1480000,1700001,2150000,+0.41%,2025-06-26
短杖魔力卷軸60%卷軸,735,225000,250000,320000,+5.24%,2025-06-26
耳飾幸運卷軸10%卷軸,687,220000,300000,395000,+3.75%,2025-06-26
飄雪結晶商城道具,661,105000,200000,365000,+64.84%,2025-06-26
弓攻擊卷軸60%卷軸,616,190000,250000,310000,+7.13%,2025-06-26
披風智力卷軸60%卷軸,587,470000,520000,600000,+4.26%,2025-06-26
手槍攻擊力卷軸60%卷軸,564,275000,300000,370000,+2.08%,2025-06-26
披風敏捷性卷軸60%卷軸,517,1500000,2450000,3500000,-5.42%,2025-06-26
長杖魔力卷軸60%卷軸,512,275000,300000,370000,+0.03%,2025-06-26
弩攻擊卷軸60%卷軸,511,35000,45000,55000,+6.03%,2025-06-26
短劍攻擊卷軸60%卷軸,496,660000,700000,780000,+0.02%,2025-06-26
套服敏捷卷軸60%卷軸,446,1250000,1700000,2250000,+8.59%,2025-06-26
耳環智力卷軸60%卷軸,439,800000,1100000,1600000,+2.63%,2025-06-26
雙手劍命中卷軸60%卷軸,438,60000,80000,100000,+14.01%,2025-06-26
頭盔智力卷軸100%卷軸,427,170000,200000,210000,+2.18%,2025-06-26
槍命中卷軸60%卷軸,426,85000,120000,145000,+3.52%,2025-06-26
鞋子跳躍卷軸10%卷軸,417,210000,275000,370000,+3.62%,2025-06-26
套服敏捷卷軸10%卷軸,400,270000,900000,1500000,+5.53%,2025-06-26
手套敏捷性卷軸60%卷軸,391,75000,120000,175000,+8.73%,2025-06-26
單手劍攻擊卷軸60%卷軸,386,30000,55000,110000,+18.24%,2025-06-26
上衣幸運卷軸100%卷軸,383,220000,280000,340000,+6.46%,2025-06-26
槍攻擊卷軸60%卷軸,382,85000,100000,145000,+2.35%,2025-06-26
上衣力量卷軸100%卷軸,380,125000,180000,220000,+10.61%,2025-06-26
手套攻擊卷軸100%卷軸,375,260000,350000,430000,+6.68%,2025-06-26
指虎攻擊卷軸60%卷軸,371,23000,35000,50000,+9.25%,2025-06-26
手套敏捷性卷軸10%卷軸,367,20000,99999,150000,+30.37%,2025-06-26
頭盔敏捷性卷軸100%卷軸,365,320000,390000,450000,+5.27%,2025-06-26
披風力量卷軸60%卷軸,357,1050000,1500000,2050000,+1.25%,2025-06-26
鞋子跳躍卷軸60%卷軸,342,750000,1200000,1700000,+0.04%,2025-06-26
盾牌幸運卷軸100%卷軸,323,230000,280000,320000,-3.34%,2025-06-26
耳飾幸運卷軸100%卷軸,313,480000,500000,570000,-0.43%,2025-06-26
頭盔體力卷軸60%卷軸,310,350000,449999,550000,+1.82%,2025-06-26
鞋子敏捷性卷軸60%卷軸,301,49999,60000,90000,+10.59%,2025-06-26
雙手劍攻擊卷軸60%卷軸,293,33333,50000,60000,+4.03%,2025-06-26
槍命中卷軸10%卷軸,286,6666,18000,30000,+16.27%,2025-06-26
鞋子移動速度卷軸60%卷軸,284,23000,30000,50000,+11.32%,2025-06-26
披風幸運卷軸10%卷軸,276,230000,299999,320000,+5.29%,2025-06-26
短劍攻擊卷軸10%卷軸,267,499999,750000,1150000,+10.51%,2025-06-26
矛攻擊卷軸60%卷軸,248,25000,30000,45000,+6.70%,2025-06-26
拳套攻擊卷軸10%卷軸,245,630000,800000,1100000,+2.59%,2025-06-26
手套攻擊卷軸10%卷軸,242,700000,1200000,1700000,-11.91%,2025-06-26
單手棍命中卷軸60%卷軸,229,19997,30000,45000,+1.95%,2025-06-26
耳飾體力卷軸60%卷軸,228,119999,150000,160000,+2.61%,2025-06-26
手槍攻擊力卷軸10%卷軸,227,850000,1000000,1150000,+0.35%,2025-06-26
披風體力卷軸60%卷軸,227,185000,200000,200000,-0.38%,2025-06-26
上衣體力卷軸10%卷軸,218,23000,40000,50000,+8.81%,2025-06-26
披風敏捷性卷軸100%卷軸,209,230000,275000,320000,+3.70%,2025-06-26
套服幸運卷軸60%卷軸,205,3999999,4999999,6000000,+3.03%,2025-06-26
食人花的花蜜其他,202,850000,999999,1050000,-0.57%,2025-06-26
酋長的地契其他,199,277777,300000,370000,-0.96%,2025-06-26
盾牌生命卷軸10%卷軸,187,179999,200000,270000,+5.30%,2025-06-26
鞋子速度卷軸60%卷軸,179,10000,50000,120000,+3.67%,2025-06-26
枯木樹液消耗品,177,23000,30000,32000,-4.92%,2025-06-26
弓攻擊卷軸10%卷軸,172,250000,650000,1250000,+34.41%,2025-06-26
套服智力卷軸60%卷軸,171,5500000,6500000,7500000,+0.41%,2025-06-26
詛咒娃娃其他,171,50,140,220,+23.69%,2025-06-26
雙手斧攻擊卷軸60%卷軸,164,5000,25000,50000,+16.48%,2025-06-26
高級瞬移之石商城道具,164,68000,200000,500000,+40.77%,2025-06-26
柔軟的羽毛其他,162,750,1100,1600,+18.38%,2025-06-26
鋼鐵母礦其他,159,7500,14500,22000,+34.65%,2025-06-26
指虎攻擊卷軸10%卷軸,149,1,10000,40000,+45.98%,2025-06-26
披風力量卷軸100%卷軸,148,115000,150000,160000,-0.03%,2025-06-26
鞋子敏捷性卷軸10%卷軸,146,45000,50000,60000,-1.21%,2025-06-26
套服幸運卷軸100%卷軸,145,1100000,1600000,2300000,+14.62%,2025-06-26
土飛鏢裝備,144,3499999,4000000,4600000,+2.57%,2025-06-26
矛命中卷軸60%卷軸,143,35000,45000,55000,-0.46%,2025-06-26
耳飾體力卷軸10%卷軸,139,95000,100000,110000,+0.36%,2025-06-26
上衣體力卷軸60%卷軸,138,120000,175000,220000,+1.33%,2025-06-26
盾牌力量卷軸60%卷軸,138,220000,350000,450000,+2.21%,2025-06-26
單手棍攻擊卷軸60%卷軸,133,3000,10000,25000,+18.31%,2025-06-26
盾牌生命卷軸60%卷軸,133,720000,800000,830000,+0.46%,2025-06-26
頭盔防禦卷軸60%卷軸,132,4999,10000,12000,+16.16%,2025-06-26
神秘背包商城道具,128,400000,1100000,2750000,+38.43%,2025-06-26
盾牌幸運卷軸10%卷軸,127,450000,680000,1100000,-4.47%,2025-06-26
下衣體力卷軸60%卷軸,125,370000,400000,470000,+1.20%,2025-06-26
馬堤安的觸角其他,124,500,850,1200,-1.99%,2025-06-26
肥肥頭其他,122,23000,30000,40000,-5.35%,2025-06-26
下衣跳躍卷軸60%卷軸,119,27500,40000,50000,+2.26%,2025-06-26
頭盔體力卷軸10%卷軸,113,50000,50000,50000,0.00%,2025-06-26
盾牌防禦卷軸60%卷軸,112,3000,10000,20000,+55.57%,2025-06-26
黑暗母礦其他,110,15000,25000,35000,+1.37%,2025-06-26
雙手斧攻擊卷軸10%卷軸,109,5000,30000,60000,+35.85%,2025-06-26
下衣敏捷性卷軸100%卷軸,104,700000,900000,1150000,-4.84%,2025-06-26
指虎命中卷軸10%卷軸,101,6500,10000,11111,-0.79%,2025-06-26
長杖魔力卷軸10%卷軸,101,350000,600000,800000,+11.91%,2025-06-26
耳飾敏捷卷軸100%卷軸,100,3599999,4000000,4300000,+4.24%,2025-06-26
堅硬的羽毛其他,98,490,1000,1500,+37.91%,2025-06-26
槍攻擊卷軸10%卷軸,98,45000,99000,140000,+16.18%,2025-06-26
矛命中卷軸10%卷軸,95,8888,10000,10000,+0.59%,2025-06-26
雙手棍攻擊卷軸60%卷軸,95,1,10000,20000,+13.25%,2025-06-26
套服智力卷軸100%卷軸,94,1800000,2100000,2800000,-6.64%,2025-06-26
套服力量卷軸100%卷軸,91,50000,80000,120000,+10.99%,2025-06-26
手套生命卷軸60%卷軸,91,230000,320000,450000,+14.06%,2025-06-26
披風智力卷軸100%卷軸,89,83000,100000,100000,-1.04%,2025-06-26
上衣力量卷軸60%卷軸,86,1500000,2000000,3000000,+24.44%,2025-06-26
盾牌力量卷軸10%卷軸,86,10000,25000,55000,+38.75%,2025-06-26
古代卷軸其他,80,20000,30000,50000,+16.66%,2025-06-26
盾牌幸運卷軸60%卷軸,734,1250000,1400000,1700000,+1.51%,2025-06-27
披風幸運卷軸60%卷軸,704,1200000,1300000,1600000,+0.16%,2025-06-27
拳套攻擊卷軸60%卷軸,692,450000,545000,650000,+2.67%,2025-06-27
飄雪結晶商城道具,677,130000,245000,370000,+42.23%,2025-06-27
手套攻擊卷軸60%卷軸,667,1450000,1800000,2400000,+4.47%,2025-06-27
短杖魔力卷軸60%卷軸,630,225000,260000,320000,+4.30%,2025-06-27
手槍攻擊力卷軸60%卷軸,596,260000,300000,420000,+4.40%,2025-06-27
耳飾幸運卷軸10%卷軸,558,249000,300000,380000,+2.59%,2025-06-27
弓攻擊卷軸60%卷軸,551,180000,250000,330000,+8.05%,2025-06-27
短劍攻擊卷軸60%卷軸,535,649999,700000,850000,+0.55%,2025-06-27
披風智力卷軸60%卷軸,513,460000,520000,620000,+3.64%,2025-06-27
弩攻擊卷軸60%卷軸,487,35000,45000,55000,+7.81%,2025-06-27
披風敏捷性卷軸60%卷軸,476,1450000,2500000,4000000,+12.98%,2025-06-27
長杖魔力卷軸60%卷軸,456,270000,300000,390000,+0.47%,2025-06-27
槍命中卷軸60%卷軸,451,83000,120000,150000,+4.68%,2025-06-27
鞋子跳躍卷軸10%卷軸,419,200000,299999,400000,+9.70%,2025-06-27
頭盔智力卷軸100%卷軸,416,170000,200000,230000,+4.00%,2025-06-27
槍攻擊卷軸60%卷軸,399,85000,100000,150000,+2.72%,2025-06-27
雙手劍命中卷軸60%卷軸,397,55000,80000,110000,+9.19%,2025-06-27
上衣幸運卷軸100%卷軸,388,210000,300000,370000,+12.99%,2025-06-27
耳環智力卷軸60%卷軸,372,850000,1200000,1700000,+12.10%,2025-06-27
手套攻擊卷軸100%卷軸,370,250000,350000,450000,+8.68%,2025-06-27
指虎攻擊卷軸60%卷軸,366,23000,40000,50000,+10.65%,2025-06-27
頭盔敏捷性卷軸100%卷軸,362,300000,390000,500000,+5.85%,2025-06-27
單手劍攻擊卷軸60%卷軸,360,30000,60000,120000,+17.46%,2025-06-27
套服敏捷卷軸60%卷軸,353,1250000,1799999,2250000,+4.44%,2025-06-27
手套敏捷性卷軸60%卷軸,353,75000,120000,175000,+3.23%,2025-06-27
上衣力量卷軸100%卷軸,342,125000,180000,220000,+8.69%,2025-06-27
套服敏捷卷軸10%卷軸,341,320000,950000,1550000,+4.80%,2025-06-27
手套敏捷性卷軸10%卷軸,337,20000,100000,180000,+37.91%,2025-06-27
披風力量卷軸60%卷軸,317,950000,1500000,2300000,+5.61%,2025-06-27
盾牌幸運卷軸100%卷軸,309,230000,280000,320000,-4.91%,2025-06-27
鞋子移動速度卷軸60%卷軸,287,20000,32000,60000,+13.42%,2025-06-27
鞋子跳躍卷軸60%卷軸,286,750000,1299999,1700000,+2.51%,2025-06-27
鞋子敏捷性卷軸60%卷軸,275,50000,60000,90000,+14.36%,2025-06-27
槍命中卷軸10%卷軸,274,7000,19999,30000,+11.79%,2025-06-27
雙手劍攻擊卷軸60%卷軸,262,38000,50000,65000,+1.22%,2025-06-27
頭盔體力卷軸60%卷軸,260,350000,450000,550000,+6.13%,2025-06-27
耳飾幸運卷軸100%卷軸,250,480000,500000,570000,+0.55%,2025-06-27
披風幸運卷軸10%卷軸,239,220000,300000,333333,+7.17%,2025-06-27
手槍攻擊力卷軸10%卷軸,235,850000,1000000,1300000,+3.37%,2025-06-27
矛攻擊卷軸60%卷軸,231,25000,30000,45000,+2.59%,2025-06-27
披風體力卷軸60%卷軸,229,180000,200000,200000,+0.48%,2025-06-27
短劍攻擊卷軸10%卷軸,222,550000,800000,1150000,+14.12%,2025-06-27
單手棍命中卷軸60%卷軸,221,19997,30000,45000,+10.68%,2025-06-27
拳套攻擊卷軸10%卷軸,221,490000,850000,1700000,+28.99%,2025-06-27
手套攻擊卷軸10%卷軸,215,700000,1300000,1900000,+12.44%,2025-06-27
套服幸運卷軸60%卷軸,199,3500000,5000000,7500000,+7.60%,2025-06-27
耳飾體力卷軸60%卷軸,198,115000,150000,170001,+1.18%,2025-06-27
披風敏捷性卷軸100%卷軸,195,230000,280000,320000,+6.49%,2025-06-27
上衣體力卷軸10%卷軸,190,23000,40000,55000,+8.85%,2025-06-27
酋長的地契其他,190,270000,300000,390000,-2.32%,2025-06-27
食人花的花蜜其他,178,850000,999999,1050000,+1.18%,2025-06-27
詛咒娃娃其他,174,50,149,250,+20.83%,2025-06-27
弓攻擊卷軸10%卷軸,172,100000,800000,1550000,+48.26%,2025-06-27
雙手斧攻擊卷軸60%卷軸,170,5000,30000,55000,+22.60%,2025-06-27
鋼鐵母礦其他,167,6000,15000,26000,+55.87%,2025-06-27
鞋子敏捷性卷軸10%卷軸,161,40000,50000,80000,+7.07%,2025-06-27
高級瞬移之石商城道具,160,68000,260000,640000,+72.57%,2025-06-27
枯木樹液消耗品,158,23000,30000,32000,-6.09%,2025-06-27
盾牌生命卷軸10%卷軸,157,170000,200000,280000,+4.97%,2025-06-27
套服智力卷軸60%卷軸,155,5300000,6500000,8000000,+1.44%,2025-06-27
柔軟的羽毛其他,152,750,1200,1600,+20.40%,2025-06-27
鞋子速度卷軸60%卷軸,147,1,50000,120000,-5.80%,2025-06-27
指虎攻擊卷軸10%卷軸,139,1,12000,40000,+15.45%,2025-06-27
矛命中卷軸60%卷軸,138,32000,45000,55000,-1.59%,2025-06-27
單手棍攻擊卷軸60%卷軸,134,3000,10000,25000,+29.04%,2025-06-27
披風力量卷軸100%卷軸,131,115000,150000,160000,+1.39%,2025-06-27
盾牌生命卷軸60%卷軸,130,700000,800000,860000,+1.57%,2025-06-27
上衣體力卷軸60%卷軸,125,140000,180000,220000,-2.95%,2025-06-27
耳飾體力卷軸10%卷軸,124,95000,100000,110000,+0.13%,2025-06-27
土飛鏢裝備,123,3499999,4000000,4600000,+4.94%,2025-06-27
盾牌力量卷軸60%卷軸,123,249999,350000,470000,+10.57%,2025-06-27
下衣跳躍卷軸60%卷軸,120,24999,40000,60000,+2.31%,2025-06-27
套服幸運卷軸100%卷軸,116,1150000,1600000,2300000,+9.19%,2025-06-27
單手劍攻擊卷軸10%卷軸,115,90000,100000,130000,-0.35%,2025-06-27
肥肥頭其他,114,23000,30000,40000,-1.09%,2025-06-27
雙手斧攻擊卷軸10%卷軸,114,10000,30000,60000,+18.65%,2025-06-27
神秘背包商城道具,112,400000,1200000,2750000,+25.03%,2025-06-27
盾牌幸運卷軸10%卷軸,109,450000,700000,1200000,+35.44%,2025-06-27
馬堤安的觸角其他,109,500,890,1200,+6.17%,2025-06-27
黑暗母礦其他,103,15000,25000,35000,+12.50%,2025-06-27
下衣體力卷軸60%卷軸,102,370000,420000,470000,+6.81%,2025-06-27
堅硬的羽毛其他,102,500,1000,1600,+23.85%,2025-06-27
頭盔體力卷軸10%卷軸,101,50000,50000,50000,0.00%,2025-06-27
槍攻擊卷軸10%卷軸,100,45000,100000,150000,+3.94%,2025-06-27
盾牌防禦卷軸60%卷軸,100,3000,10000,20000,+38.54%,2025-06-27
下衣敏捷性卷軸100%卷軸,98,700000,900000,1120000,+2.88%,2025-06-27
指虎命中卷軸10%卷軸,93,8000,10000,10000,+0.49%,2025-06-27
矛命中卷軸10%卷軸,91,8500,10000,10000,+0.76%,2025-06-27
雙手棍攻擊卷軸60%卷軸,91,3000,10000,20000,+16.72%,2025-06-27
頭盔防禦卷軸60%卷軸,89,7000,10000,10000,+4.18%,2025-06-27
披風智力卷軸100%卷軸,87,83000,100000,100000,+2.58%,2025-06-27
盾牌力量卷軸10%卷軸,85,12000,30000,60000,+47.89%,2025-06-27
長杖魔力卷軸10%卷軸,84,350000,600000,800000,+5.73%,2025-06-27
指虎命中卷軸60%卷軸,82,10000,30000,60000,+36.48%,2025-06-27
護身符商城道具,82,35000,390000,760000,+75.24%,2025-06-27
套服智力卷軸100%卷軸,80,1500000,2100000,3000000,-10.74%,2025-06-27
手套生命卷軸60%卷軸,78,230000,340000,450000,+14.07%,2025-06-27
耳飾敏捷卷軸100%卷軸,78,3650000,3999999,4100000,+1.21%,2025-06-27
物品,成交量,最低價,中位價,最高價,價格變化,日期
飄雪結晶商城道具,787,138000,270000,385001,+25.19%,2025-06-28
短杖魔力卷軸60%卷軸,682,210000,280000,390000,+5.52%,2025-06-28
披風幸運卷軸60%卷軸,666,1050000,1400000,2000000,+19.91%,2025-06-28
盾牌幸運卷軸60%卷軸,616,1250000,1400000,1950000,+6.01%,2025-06-28
手套攻擊卷軸60%卷軸,590,1350000,1900000,2900000,+14.16%,2025-06-28
拳套攻擊卷軸60%卷軸,583,440000,550000,680000,+5.00%,2025-06-28
披風智力卷軸60%卷軸,549,450000,540000,650000,+4.24%,2025-06-28
手槍攻擊力卷軸60%卷軸,546,250000,310000,450000,+2.74%,2025-06-28
耳飾幸運卷軸10%卷軸,524,249999,300000,450000,+16.17%,2025-06-28
長杖魔力卷軸60%卷軸,520,250000,330000,450000,+4.30%,2025-06-28
弓攻擊卷軸60%卷軸,467,195000,250000,330000,+9.86%,2025-06-28
短劍攻擊卷軸60%卷軸,459,630000,710000,900000,+5.57%,2025-06-28
弩攻擊卷軸60%卷軸,457,35000,45000,55000,+8.86%,2025-06-28
槍命中卷軸60%卷軸,446,80000,120000,160000,+2.44%,2025-06-28
頭盔智力卷軸100%卷軸,429,149999,200000,350000,+18.83%,2025-06-28
耳環智力卷軸60%卷軸,402,800000,1300000,2000000,+24.95%,2025-06-28
披風敏捷性卷軸60%卷軸,398,1450000,2800000,4500000,+27.79%,2025-06-28
槍攻擊卷軸60%卷軸,393,79999,110000,170000,+2.60%,2025-06-28
鞋子跳躍卷軸10%卷軸,380,188888,300000,475000,+3.14%,2025-06-28
上衣幸運卷軸100%卷軸,372,230000,300000,390000,+8.58%,2025-06-28
頭盔敏捷性卷軸100%卷軸,361,250000,400000,850000,+54.71%,2025-06-28
指虎攻擊卷軸60%卷軸,355,20000,40000,60000,+16.75%,2025-06-28
套服敏捷卷軸60%卷軸,350,1250000,1950000,2649999,+18.38%,2025-06-28
手套攻擊卷軸100%卷軸,349,250000,350000,450000,+10.07%,2025-06-28
單手劍攻擊卷軸60%卷軸,344,30000,65000,120000,+28.40%,2025-06-28
雙手劍命中卷軸60%卷軸,338,55000,80000,110000,+4.32%,2025-06-28
手套敏捷性卷軸60%卷軸,322,70000,120000,190000,+4.19%,2025-06-28
雙手劍攻擊卷軸60%卷軸,311,34000,50000,90000,+9.59%,2025-06-28
上衣力量卷軸100%卷軸,300,140000,180000,220000,+5.97%,2025-06-28
鞋子敏捷性卷軸60%卷軸,294,45000,70000,100000,+17.96%,2025-06-28
手套敏捷性卷軸10%卷軸,288,45000,100000,180000,+27.64%,2025-06-28
